P_el_Halle;P_el_Schule;W_Halle;W_Schule
0,8;2,4;20,5;15
0,9;2,2;21,9;18
1,0;2,6;23,1;20
1,0;2,6;23,0;16
1,1;2,4;45,5;22
1,4;3,4;34,2;16
2,6;4,2;90,9;18
1,0;4,2;21,7;25
0,9;3,3;22,8;15
0,7;2,4;21,8;16
0,9;2,5;22,8;23
0,7;2,5;21,8;14
0,8;2,4;21,9;16
0,8;2,3;21,8;22
0,7;2,3;19,1;14
0,8;2,6;34,2;16
1,0;4,1;21,9;25
1,0;4,1;16,3;17
1,1;4,2;22,4;23
1,0;4,2;22,8;21
1,1;4,1;22,8;17
1,7;4,1;22,3;18
1,7;2,5;67,3;22
0,8;2,5;20,5;14
0,9;2,6;21,8;15
1,0;3,2;23,0;16
0,9;3,2;22,9;18
1,1;3,3;22,8;21
1,1;3,2;68,3;16
1,4;4,1;45,5;17
2,7;4,9;112,8;26
0,9;5,0;22,8;18
0,8;3,3;22,0;17
0,8;3,2;21,9;18
0,8;3,2;22,0;21
0,8;3,2;22,9;16
0,8;3,1;22,0;19
0,9;3,2;22,8;21
0,8;3,6;22,9;16
0,8;2,8;21,9;18
0,9;4,2;22,9;22
1,1;4,9;22,9;18
1,1;4,8;34,3;21
1,1;4,8;44,5;23
1,1;4,8;34,2;18
1,8;4,7;22,9;19
1,8;3,1;90,2;23
1,0;3,1;23,8;15
0,9;3,1;33,2;17
1,0;3,0;43,8;23
1,1;3,1;34,0;15
1,2;3,3;68,6;17
1,1;3,3;78,9;23
1,4;3,9;57,0;16
2,7;5,0;112,9;19
1,1;4,4;22,9;25
0,9;3,2;45,8;15
0,9;3,1;34,4;17
0,9;3,2;34,4;23
0,9;3,1;34,4;15
0,9;3,2;34,4;17
0,9;3,2;33,4;23
1,0;3,1;28,7;15
0,8;3,1;45,5;17
1,0;4,0;34,3;24
1,1;4,9;34,4;18
1,1;4,6;34,5;19
1,1;4,8;45,6;26
1,1;4,8;33,4;17
1,8;4,7;22,4;19
1,8;3,0;79,9;23
1,0;3,0;21,5;15
0,9;3,0;22,9;17
1,0;3,1;45,6;23
1,1;3,1;23,2;15
1,2;3,1;57,1;20
1,1;3,2;68,5;21
1,4;4,2;64,8;17
2,6;5,2;113,7;22
1,1;5,6;23,0;24
0,9;4,4;34,3;17
0,9;5,5;34,7;22
0,9;5,1;44,1;23
0,8;4,9;57,0;18
0,5;5,0;29,2;22
0,8;4,5;45,0;22
0,5;4,0;61,0;17
0,9;3,9;41,3;20
0,7;4,7;57,0;23
0,3;4,8;44,6;18
0,7;4,7;45,8;21
1,2;4,7;45,6;23
1,0;4,9;57,1;15
1,7;4,6;23,0;19
1,7;3,2;56,1;17
0,9;3,0;21,9;23
0,8;3,2;22,0;16
0,9;3,1;33,2;16
0,9;3,1;22,1;18
1,0;3,2;22,0;20
1,1;3,1;22,8;15
1,0;4,0;22,8;17
1,2;5,0;22,8;19
1,1;4,9;45,6;26
0,9;3,1;34,2;15
1,0;3,2;33,9;17
0,9;3,1;34,9;23
0,9;3,2;33,9;15
0,9;3,5;34,0;17
0,9;3,2;34,0;23
0,9;3,2;31,7;15
1,0;3,3;34,2;17
1,1;4,8;32,5;26
1,2;4,9;33,9;12
1,1;4,7;34,2;23
1,0;4,9;34,3;18
1,1;4,9;27,6;18
1,2;4,7;23,6;19
