P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
0,8;2,4;0,69;20,5;15;12;27,6;16,0;15,0
0,9;2,2;1,04;21,9;18;11;29,1;19,3;13,9
1;2,6;0,67;23,1;20;13;30,4;21,4;16,0
1;2,6;0,65;23;16;22;30,2;23,4;25,6
1,1;2,4;0,8;45,5;22;22;53,5;30,0;25,6
1,4;3,4;0,67;34,2;16;22;41,8;22,7;25,6
2,6;4,2;0,55;90,9;18;23;100,4;25,5;26,7
1;4,2;0,8;21,7;25;21;28,9;32,5;24,5
0,9;3,3;0,67;22,8;15;23;30,1;22,4;26,7
0,7;2,4;0,57;21,8;16;24;28,9;23,1;27,7
0,9;2,5;0,58;22,8;23;22;30,1;30,1;25,6
0,7;2,5;0,82;21,8;14;23;29,0;21,3;26,7
0,8;2,4;0,67;21,9;16;21;29,1;23,0;24,5
0,8;2,3;0,77;21,8;22;23;29,0;29,9;26,7
0,7;2,3;0,85;19,1;14;22;26,2;21,1;25,6
0,8;2,6;0,63;34,2;16;23;41,7;23,2;26,7
1;4,1;0,66;21,9;25;17;29,1;26,8;20,3
1;4,1;0,71;16,3;17;13;23,3;17,9;16,0
1,1;4,2;0,69;22,4;23;10;29,7;25,9;12,8
1;4,2;0,67;22,8;21;12;30,1;24,1;15,0
1,1;4,1;0,69;22,8;17;12;30,0;22,8;15,0
1,7;4,1;0,71;22,3;18;12;29,6;19,5;15,0
1,7;2,5;0,71;67,3;22;13;75,8;24,2;16,0
0,8;2,5;0,69;20,5;14;16;27,7;15,4;19,2
0,9;2,6;0,69;21,8;15;13;29,0;15,9;16,0
1;3,2;1,04;23;16;9;30,3;17,5;11,8
0,9;3,2;0,67;22,9;18;9;30,2;19,0;11,8
1,1;3,3;0,65;22,8;21;12;30,0;27,8;15,0
1,1;3,2;0,8;68,3;16;16;77,0;23,0;19,2
1,4;4,1;0,67;45,5;17;11;53,5;24,6;13,9
2,7;4,9;0,55;112,8;26;10;122,9;33,6;12,8
0,9;5;0,8;22,8;18;16,28;30,0;24,7;19,5
0,8;3,3;0,67;22;17;12,72;29,2;24,1;15,7
0,8;3,2;0,57;21,9;18;10;29,1;25,0;12,8
0,8;3,2;0,58;22;21;19;29,2;27,9;22,4
0,8;3,2;0,82;22,9;16;23;30,2;22,9;26,7
0,8;3,1;0,67;22;19;26;29,2;26,3;29,9
0,9;3,2;0,77;22,8;21;28;30,0;28,2;32,0
0,8;3,6;0,85;22,9;16;22;30,2;23,4;25,6
0,8;2,8;0,63;21,9;18;24;29,1;25,8;27,7
0,9;4,2;0,66;22,9;22;22;30,1;23,9;25,6
1,1;4,9;0,71;22,9;18;29;30,2;19,5;33,1
1,1;4,8;0,69;34,3;21;25;41,9;22,9;28,8
1,1;4,8;0,67;44,5;23;21;52,5;24,6;24,5
1,1;4,8;0,69;34,2;18;20;41,8;18,7;23,5
1,8;4,7;0,71;22,9;19;26;30,2;25,7;29,9
1,8;3,1;0,71;90,2;23;23;99,5;30,8;26,7
1;3,1;0,71;23,8;15;15;31,2;22,2;18,2
0,9;3,1;0,77;33,2;17;13;40,7;23,8;16,0
1;3;0,67;43,8;23;14;51,7;30,7;17,1
1,1;3,1;0,67;34;15;14;41,8;22,3;17,1
1,2;3,3;0,67;68,6;17;13;77,3;24,1;16,0
1,1;3,3;0,67;78,9;23;17;87,9;31,1;20,3
1,4;3,9;0,85;57;16;22;65,4;23,1;25,6
2,7;5;0,67;112,9;19;22;122,9;26,6;25,6
1,1;4,4;0,72;22,9;25;20;30,2;32,7;23,5
0,9;3,2;0,72;45,8;15;21;53,8;22,1;24,5
0,9;3,1;0,67;34,4;17;21;42,0;23,8;24,5
0,9;3,2;0,89;34,4;23;21;42,0;30,8;24,5
0,9;3,1;0,99;34,4;15;22;42,0;22,1;25,6
0,9;3,2;1,31;34,4;17;22;42,0;23,8;25,6
0,9;3,2;0,71;33,4;23;22;41,0;30,9;25,6
1;3,1;0,71;28,7;15;21;36,1;21,9;24,5
0,8;3,1;0,84;45,5;17;21;53,7;23,8;24,5
1;4;1,3;34,3;24;19;41,8;26,4;22,4
1,1;4,9;1,1;34,4;18;18;42,0;18,8;21,4
1,1;4,6;0,95;34,5;19;10;42,2;20,1;12,8
1,1;4,8;0,8;45,6;26;11;53,7;28,7;13,9
1,1;4,8;0,62;33,4;17;11;41,0;24,5;13,9
1,8;4,7;0,78;22,4;19;11;29,7;26,1;13,9
1,8;3;0,79;79,9;23;11;89,0;30,6;13,9
1;3;0,79;21,5;15;12;28,7;22,0;15,0
0,9;3;0,84;22,9;17;11;30,1;23,7;13,9
1;3,1;0,59;45,6;23;11;53,7;30,7;13,9
1,1;3,1;0,59;23,2;15;10;30,6;22,1;12,8
1,2;3,1;0,72;57,1;20;10;65,5;26,8;12,8
1,1;3,2;0,68;68,5;21;17;77,1;28,1;20,3
1,4;4,2;0,72;64,8;17;22;73,3;24,3;25,6
2,6;5,2;0,64;113,7;22;20;123,8;29,4;23,5
1,1;5,6;0,71;23;24;19;30,2;31,4;22,4
0,9;4,4;0,67;34,3;17;20;41,9;24,5;23,5
0,9;5,5;0,7;34,7;22;20;42,3;29,6;23,5
0,9;5,1;0,71;44,1;23;19;51,9;30,8;22,4
0,8;4,9;0,9;57;18;18;65,4;25,2;21,4
0,5;5;0,82;29,2;22;17;34,4;29,0;20,3
0,8;4,5;0,67;45;22;17;48,8;29,9;20,3
0,5;4;0,67;61;17;16;64,5;24,0;19,2
0,9;3,9;0,67;41,3;20;16;44,4;27,3;19,2
0,7;4,7;0,67;57;23;16;61,0;24,4;19,2
0,3;4,8;0,67;44,6;18;13;48,2;19,4;16,0
0,7;4,7;0,67;45,8;21;4;49,4;23,3;6,5
1,2;4,7;0,84;45,6;23;6;53,7;30,1;8,6
1;4,9;0,67;57,1;15;7;65,5;21,8;9,7
1,7;4,6;0,67;23;19;7;30,2;26,3;9,7
1,7;3,2;0,74;56,1;17;7;64,4;24,2;9,7
0,9;3;0,83;21,9;23;7;29,1;30,9;9,7
0,8;3,2;0,8;22;16;6;29,2;23,1;8,6
0,9;3,1;0,68;33,2;16;7;40,7;23,4;9,7
0,9;3,1;0,69;22,1;18;7;29,4;24,3;9,7
1;3,2;0,65;22;20;7;29,2;27,7;9,7
1,1;3,1;0,63;22,8;15;7;30,1;22,1;9,7
1;4;0,69;22,8;17;8;30,0;23,8;10,7
1,2;5;0,66;22,8;19;8;30,1;25,8;10,7
1,1;4,9;0,68;45,6;26;8;53,7;33,4;10,7
0,9;3,1;0,68;34,2;15;9;41,7;22,3;11,8
1;3,2;0,67;33,9;17;9;41,5;24,2;11,8
0,9;3,1;0,78;34,9;23;9;42,6;27,4;11,8
0,9;3,2;0,79;33,9;15;9;41,5;16,5;11,8
0,9;3,5;0,81;34;17;7;41,8;18,6;9,7
0,9;3,2;0,67;34;23;7;41,6;25,3;9,7
0,9;3,2;0,63;31,7;15;6;39,2;16,5;8,6
1;3,3;0,63;34,2;17;8;41,8;23,6;10,7
1,1;4,8;0,63;32,5;26;8;40,1;33,5;10,7
1,2;4,9;0,76;33,9;12;8;41,6;18,2;10,7
1,1;4,7;0,74;34,2;23;9;41,8;30,7;11,8
1;4,9;0,66;34,3;18;8;41,8;24,6;10,7
1,1;4,9;0,72;27,6;18;8;35,0;25,1;10,7
1,2;4,7;0,71;23,6;19;9;30,9;25,6;11,8
1;3,2;0,71;22,9;18;9;30,2;24,9;11,8
0,8;3,1;0,71;22,9;20;9;30,1;27,9;11,8
1;3,1;0,86;33,6;15;9;41,2;22,1;11,8
1;3,2;0,69;22,8;16;10;30,0;22,6;12,8
0,9;3,1;0,71;35,4;19;9;43,1;26,2;11,8
1,1;3,1;0,69;34,4;21;10;41,9;28,0;12,8
1,1;3,2;0,67;45,5;15;9;53,5;22,2;11,8
1,1;3,9;0,67;45,6;18;9;53,7;25,2;11,8
1,1;4,9;0,73;22,8;20;10;30,1;27,6;12,8
1,1;4,8;0,67;34,2;23;9;41,8;30,3;11,8
1;3,5;0,67;34,3;16;10;41,9;22,7;12,8
0,9;3,1;0,66;34,3;16;9;41,9;22,6;11,8
0,9;3,1;0,69;34,2;16;10;41,8;23,2;12,8
0,8;3,1;1;34,3;18;9;41,8;24,9;11,8
0,9;3,1;0,65;34,3;20;8;41,9;27,9;10,7
0,9;3;0,63;34,3;12;9;41,9;18,6;11,8
0,9;3,1;0,63;22,9;19;7;30,2;21,3;9,7
0,9;3,2;0,63;34,2;16;8;41,8;17,0;10,7
1,1;4,4;0,81;34,3;18;8;41,9;19,4;10,7
1,1;5,2;0,67;34,2;21;10;41,8;22,0;12,8
1,1;5,5;0,67;34,2;24;10;41,8;25,4;12,8
1,1;5;0,67;34,2;18;12;41,8;24,7;15,0
1;4,7;0,67;22,7;19;11;30,0;26,2;13,9
1;4,8;0,69;35,4;20;12;43,1;27,3;15,0
0,8;3,3;0,71;19,2;21;11;26,1;28,2;13,9
0,8;3,2;0,75;21,4;15;12;28,6;22,3;15,0
0,8;3,3;0,75;21,9;16;12;29,1;22,7;15,0
0,9;3,2;0,75;22;16;13;29,1;23,3;16,0
0,9;3,3;0,73;14;18;12;20,1;25,1;15,0
6,8;3,2;0,63;22,6;20;13;29,6;27,9;16,0
15,2;3,2;0,63;56,8;15;13;65,2;22,1;16,0
16,4;4,2;0,79;34,2;18;13;41,8;25,4;16,0
10,6;11,9;0,67;79,7;28;14;88,7;35,3;17,1
14,2;32;0,67;34,2;54;13;41,8;63,0;16,0
12,1;28,2;0,66;45,5;45;13;53,5;52,7;16,0
16,3;28,6;0,63;45,5;46;13;53,5;53,4;16,0
13,6;24,3;0,79;45,5;41;13;53,5;49,0;16,0
14,9;29,2;0,87;22,8;48;12;30,1;56,5;15,0
9,7;22,1;0,72;34,2;43;11;41,8;50,8;13,9
9,8;18;0,69;22,8;32;12;30,0;39,8;15,0
16,3;20,4;0,68;34,2;36;11;41,8;42,4;13,9
17,7;13,4;0,63;22,8;28;10;30,1;29,7;12,8
19;10,3;0,63;21,8;26;12;29,0;27,5;15,0
20;9,6;0,74;67,4;28;12;76,0;29,6;15,0
20,1;8,8;0,71;34,4;22;13;42,0;22,9;16,0
19,6;8,2;0,71;21,8;21;13;29,0;22,5;16,0
17,1;7,4;0,71;33,2;21;13;40,6;22,5;16,0
1,9;6,4;0,71;34,2;28;14;41,8;29,6;17,1
1,6;3,2;0,71;31,1;15;13;37,2;17,4;16,0
0,5;2,9;0,85;1,6;15;12;1,7;16,2;15,0
0,7;3;0,65;8,3;16;13;8,8;17,2;16,0
0,8;3,1;0,69;20,8;23;11;28,0;24,9;13,9
0,9;3,1;0,65;22;15;11;29,1;16,3;13,9
1,4;3,2;0,67;22,9;17;12;30,2;23,8;15,0
5,8;3,1;0,69;21,8;18;16;28,9;25,0;19,2
16,2;4,1;0,67;33,9;22;22;41,7;29,5;25,6
13,1;10,3;0,72;45,3;23;20;53,2;30,6;23,5
16,4;29,6;4,93;45,4;47;22;53,4;54,9;25,6
11,7;27,6;6,98;45,3;45;23;53,3;53,1;26,7
13,5;25,4;8,2;45,3;44;24;53,3;51,9;27,7
10,3;20,3;14,17;34;41;22;41,7;48,9;25,6
18;23,4;7,95;22,7;39;27;29,9;46,8;30,9
19,1;19,8;8,62;33;35;23;40,6;42,8;26,7
19,1;13,6;7,41;22,7;29;24;30,0;36,0;27,7
19,2;20,7;5,57;22,7;39;27;30,0;46,3;30,9
19,3;13,8;5,35;22,6;33;23;29,9;40,9;26,7
19,7;12;5,35;22,7;25;24;29,9;27,2;27,7
14,8;10,2;4,45;21,7;24;24;28,9;25,3;27,7
1;10;1,67;22,6;24;18;29,9;26,5;21,4
1;9;1,67;22,8;25;16;30,1;28,0;19,2
1;8,4;1,67;21,7;27;14;28,8;33,7;17,1
1,8;6,7;1,53;22,7;19;16;30,0;20,7;19,2
1,5;3,4;0,73;22,2;16;14;28,0;17,5;17,1
0,5;3,3;0,71;2,8;17;14;3,0;18,2;17,1
0,8;3,2;0,71;8,5;18;15;9,3;19,4;18,2
0,9;3,2;0,74;33;21;16;40,5;22,7;19,2
0,8;3,4;0,76;21,7;16;16;28,8;17,0;19,2
6,5;3,4;0,83;22,7;18;17;30,0;24,5;20,3
14,5;3,3;0,89;21,6;18;20;28,8;25,5;23,5
15,5;4,4;0,71;22,4;23;22;29,6;30,3;25,6
15,9;12,2;0,83;67,9;26;24;76,6;33,9;27,7
14,9;32,9;5,36;45,2;52;25;53,2;59,9;28,8
11,1;30,1;6,91;33,9;50;25;41,6;58,2;28,8
15,6;33,8;9,78;45,3;57;24;53,2;65,7;27,7
19,3;26;12,36;45,3;42;26;53,3;50,2;29,9
19,7;28,9;7,71;22,7;46;25;30,0;54,1;28,8
